director_id,name
5147,David Koepp
5148,Uwe Boll
5149,Soi Cheang
5150,John Dahl
5151,Tim Miller
5152,Stephen Herek
5153,Peter MacDonald
5154,Anthony Hemingway
5155,Sean Anders
5156,Brian Taylor
5157,John Madden
5158,Kevin Bray
5159,Mike Gabriel
5160,Sam Weisman
5161,Jesse Dylan
5162,Wayne Wang
5163,Gabriele Muccino
5164,Tom Dey
5165,Jimmy Hayward
5166,Alan Parker
5167,John Frankenheimer
5168,Paul King
5169,Akiva Schaffer
5170,William Friedkin
5171,Kent Alterman
5172,Peter Lord
5173,Shekhar Kapur
5174,Karyn Kusama
5175,Ronald F. Maxwell
5176,Robert Butler
5177,Steve Antin
5178,Jim Gillespie
5179,Francis Ford Coppola
5180,Richard Lester
5181,Scott Cooper
5182,Curtis Hanson
5183,Phyllida Lloyd
5184,Jay Chandrasekhar
5185,Terrence Malick
5186,David Dobkin
5187,Miloš Forman
5188,Pierre Morel
5189,Paul Hunter
5190,Steve Oedekerk
5191,John Whitesell
5192,George Nolfi
5193,Neil Jordan
5194,Rawson Marshall Thurber
5195,Spike Lee
5196,Brian Helgeland
5197,Frank Marshall
5198,Hideo Nakata
5199,Peter Hewitt
5200,Joe Roth
5201,Bennett Miller
5202,Jaume Collet-Serra
5203,Andy Fickman
5204,James McTeigue
5205,Matthew O'Callaghan
5206,Angela Robinson
5207,Gary Fleder
5208,Tommy Wirkola
5209,Adrian Lyne
5210,Stephen Gaghan
5211,Jorge R. Gutierrez
5212,Richard Loncraine
5213,Christophe Gans
5214,Howard Deutch
5215,Jon Hurwitz
5216,Steven Quale
5217,John Landis
5218,Alexander Witt
5219,Beeban Kidron
5220,Carl Franklin
5221,Steven Seagal
5222,Danny Boyle
5223,Andrew Bergman
5224,Barbet Schroeder
5225,Peter Webber
5226,Andrew Niccol
5227,John Carpenter
5228,Wes Anderson
5229,David Cronenberg
5230,John Stockwell
5231,David Gordon Green
5232,Jim Sheridan
5233,Costa-Gavras
5234,Patrick Read Johnson
5235,Richard LaGravenese
5236,Danny DeVito
5237,George Armitage
5238,Patrick Lussier
5239,James Wong
5240,Richard Curtis
5241,Chuck Bowman
5242,Olivier Megaton
5243,Deepa Mehta
5244,Warren Beatty
5245,Penny Marshall
5246,Ted Kotcheff
5247,Andrei Tarkovsky
5248,Yvette Kaplan
5249,Stephen Frears
5250,P.J. Hogan
5251,Brad Furman
5252,Terence Young
5253,David Zucker
5254,Denis Villeneuve
5255,Thomas Carter
5256,Roger Michell
5257,Luis Llosa
5258,Melville Shavelson
5259,Garth Jennings
5260,Joel Zwick
5261,Russell Mulcahy
5262,David R. Ellis
5263,Peter Howitt
5264,John A. Davis
5265,David Lynch
5266,Julie Taymor
5267,Mathieu Kassovitz
5268,John Gray
5269,John Schultz
5270,Sean Penn
5271,Susan Stroman
5272,Simon Wincer
5273,Billy Bob Thornton
5274,Danny Pang
5275,George P. Cosmatos
5276,Oliver Parker
5277,Lawrence Kasanoff
5278,Ben Affleck
5279,Brian Gibson
5280,Ben Sharpsteen
5281,Michael Cimino
5282,Paul McGuigan
5283,Gus Van Sant
5284,Roger Kumble
5285,Burr Steers
5286,Nick Park
5287,John Hamburg
5288,Reginald Hudlin
5289,Joseph L. Mankiewicz
5290,Barbra Streisand
5291,Mark Pellington
5292,John Glen
5293,Catherine Hardwicke
5294,John Herzfeld
5295,Annabel Jankel
5296,Julie Anne Robinson
5297,Seth Rogen
5298,Sngmoo Lee
5299,Jamel Debbouze
5300,Gordon Chan
5301,Asger Leth
5302,John G. Avildsen
5303,Anne Fletcher
5304,Bruce Beresford
5305,Sam Taylor-Johnson
5306,Ken Kwapis
5307,Wes Craven
5308,Etan Cohen
5309,Nick Cassavetes
5310,Nicholas Stoller
5311,Mark A.Z. Dippé
5312,Callan Brunker
5313,Nimród Antal
5314,Alejandro Agresti
5315,Peter Hedges
5316,Paul Weiland
5317,Colin Strause
5318,Joan Chen
5319,Greg Mottola
5320,Jake Kasdan
5321,Diane Keaton
5322,Kelly Makin
5323,Stephen Daldry
5324,Christian Duguay
5325,Justin Chadwick
5326,Pat O'Connor
5327,Frederik Du Chau
5328,Irwin Winkler
5329,Joseph Kahn
5330,Sofia Coppola
5331,Stephen T. Kay
5332,Juan Antonio Bayona
5333,Elaine May
5334,Dennie Gordon
5335,Charles Shyer
5336,Ulu Grosbard
5337,William Malone
5338,Malcolm D. Lee
5339,Jerry Jameson
5340,Mic Rodgers
5341,Christian Alvart
5342,Jean-Marie Poiré
5343,Marc F. Adler
5344,Geoffrey Sax
5345,Richard Shepard
5346,Peter Chan
5347,Sergei Bodrov Jr.
5348,Bong Joon-ho
5349,Bibo Bergeron
5350,Jeff Nathanson
5351,S.S. Rajamouli
5352,Charles S. Dutton
5353,Jonathan Lynn
5354,David Carson
5355,Wong Kar-wai
5356,Yuefeng Song
5357,Norman Jewison
5358,David Mirkin
5359,Luis Mandoki
5360,Lee Daniels
5361,Jeb Stuart
5362,Steve Miner
5363,Paul Thomas Anderson
5364,David Leland
5365,J Blakeson
5366,Ryan Coogler
5367,Kirk Jones
5368,Jennifer Flackett
5369,Kevin Smith
5370,Christian Ditter
5371,Charles Martin Smith
5372,Fyodor Bondarchuk
5373,Irvin Kershner
5374,Steve Pink
5375,Scott Hicks
5376,Kirk De Micco
5377,Chris Rock
5378,Wilson Yip
5379,Robert Wise
5380,Kevin Rodney Sullivan
5381,Kevin Munroe
5382,Mike Tollin
5383,Patrick Tatopoulos
5384,Gary David Goldberg
5385,Tobe Hooper
5386,Alan Poul
5387,Luke Greenfield
5388,Gil Junger
5389,Michael Ritchie
5390,Steven E. de Souza
5391,Alexandre Aja
5392,Michael Rymer
5393,Hugh Wilson
5394,Mike Hodges
5395,Scott Mann
5396,Susanna White
5397,Chris Carter
5398,Tommy O'Haver
5399,Peter Landesman
5400,Gary Chapman
5401,Craig Mazin
5402,Allen Hughes
5403,Kimble Rendall
5404,Peter Yates
5405,Lasse Hallström
5406,Jean-Marc Vallée
5407,Tsui Hark
5408,Lexi Alexander
5409,Ronny Yu
5410,Bille August
5411,Moustapha Akkad
5412,Jean-Paul Rappeneau
5413,Joachim Rønning
5414,Tony Kaye
5415,Ken Scott
5416,Hugh Johnson
5417,Hayao Miyazaki
5418,"George Tillman, Jr."
5419,Rand Ravich
5420,Hugh Hudson
5421,Ben Stassen
5422,Chris Gorak
5423,Scott Speer
5424,Joe Charbanic
5425,Jonathan Hensleigh
5426,Danny Cannon
5427,Boaz Yakin
5428,Richard Marquand
5429,Neil Marshall
5430,David Wain
5431,Jared Hess
5432,Rupert Wainwright
5433,John Luessenhop
5434,Justin Zackham
5435,John Gatins
5436,Miguel Sapochnik
5437,Shim Hyung-Rae
5438,Don Scardino
5439,Tim Robbins
5440,Tom Reeve
5441,Nanette Burstein
5442,Ariel Vromen
5443,Lewis Gilbert
5444,John Francis Daley
5445,J.B. Rogers
5446,Michael Sucsy
5447,Tom Vaughan
5448,Stephen Hillenburg
5449,Stig Bergqvist
5450,Jason Reitman
5451,Alexander Payne
5452,Jonathan Levine
5453,Rian Johnson
5454,Chris Noonan
5455,Michael McCullers
5456,Forest Whitaker
5457,Woody Allen
5458,Peter Lepeniotis
5459,Ted Demme
5460,William Shatner
5461,James Gartner
5462,Lee Toland Krieger
5463,Tim McCanlies
5464,Drew Goddard
5465,Jason Friedberg
5466,Paul Michael Glaser
5467,John R. Leonetti
5468,Tom Hanks
5469,Kimberly Peirce
5470,Liz Friedlander
5471,Phil Joanou
5472,Shane Acker
5473,Martha Coolidge
5474,Stephen Anderson
5475,Troy Miller
5476,Tate Taylor
5477,Brett Leonard
5478,Alister Grierson
5479,Nick Hurran
5480,Charles Stone III
5481,Paul Haggis
5482,Kurt Wimmer
5483,Jean-François Richet
5484,Kevin Hooks
5485,Ellory Elkayem
5486,Niki Caro
5487,Vincenzo Natali
5488,Willard Huyck
5489,Gavin O'Connor
5490,Bruce Hunt
5491,Christopher Roberts
5492,Kim Jee-woon
5493,Nick Hamm
5494,Andy Cadiff
5495,Mike Disa
5496,Richard J. Lewis
5497,Sergio Leone
5498,Niels Arden Oplev
5499,Michael Radford
5500,Steve Boyum
5501,Chen Kaige
5502,Corey Yuen Kwai
5503,Andrew Dominik
5504,Jackie Chan
5505,Laurent Tirard
5506,Reinhard Klooss
5507,Frédéric Auburtin
5508,Olivier Dahan
5509,Maksim Fadeev
5510,Liliana Cavani
5511,Elizabeth Banks
5512,Edward Norton
5513,Ben Falcone
5514,Richard Attenborough
5515,Don Mancini
5516,John Maybury
5517,Norton Virgien
5518,Shinji Aramaki
5519,Miguel Arteta
5520,James Gray
5521,Janusz Kamiński
5522,Robert B. Weide
5523,Jeff Wadlow
5524,Agustín Díaz Yanes
5525,Camille Delamarre
5526,David Lean
5527,Richard Eyre
5528,Nicholas Meyer
5529,Callie Khouri
5530,Sanaa Hamri
5531,Todd Graff
5532,Philip Kaufman
5533,Saul Dibb
5534,Walter Murch
5535,Richard Linklater
5536,E. Elias Merhige
5537,Menno Meyjes
5538,Jodie Foster
5539,Scott Frank
5540,Kevin Allen
5541,Michael Cristofer
5542,Andrew Morahan
5543,Bob Rafelson
5544,Michael Cohn
5545,Alan Shapiro
5546,Fernando Meirelles
5547,Michael Hoffman
5548,Oleg Stepchenko
5549,Michael Winterbottom
5550,Michael Pressman
5551,Sharon Maguire
5552,Charles Herman-Wurmfeld
5553,Gábor Csupó
5554,Tyler Perry
5555,Joe Carnahan
5556,John Polson
5557,Bernardo Bertolucci
5558,Cathy Malkasian
5559,Chris Nahon
5560,Fred Wolf
5561,Bille Woodruff
5562,Victor Salva
5563,Mark Helfrich
5564,Steve Bendelack
5565,Dwight H. Little
5566,Guillaume Canet
5567,Kirsten Sheridan
5568,Richard Fleischer
5569,Bob Spiers
5570,Damien Dante Wayans
5571,John Wells
5572,Tim Fywell
5573,Nigel Cole
5574,Dexter Fletcher
5575,Jeremy Leven
5576,Sylvain White
5577,Troy Nixey
5578,Philip G. Atwell
5579,Jeff Schaffer
5580,James Bridges
5581,Steve Barron
5582,Bill Paxton
5583,Richard Kelly
5584,Carter Smith
5585,John Schlesinger
5586,Ringo Lam
5587,Bruce McCulloch
5588,Patricia Riggen
5589,Pascal Chaumeil
5590,Jonathan Kaplan
5591,Ole Bornedal
5592,Richard Benjamin
5593,Craig R. Baxley
5594,John Hillcoat
5595,John Guillermin
5596,Marcos Siega
5597,Rachel Talalay
5598,Jeffrey W. Byrd
5599,Atom Egoyan
5600,Robert Towne
5601,Giuseppe Tornatore
5602,Werner Herzog
5603,Jérôme Deschamps
5604,Inna Evlannikova
5605,Jonathan English
5606,Sergey Bondarchuk
5607,Teddy Chan
5608,Mario Van Peebles
5609,Leonard Nimoy
5610,Herbert Ross
5611,Bonnie Hunt
5612,Neil LaBute
5613,Grant Heslov
5614,George Gallo
5615,Sidney Lumet
5616,Douglas McGrath
5617,Kevin Spacey
5618,Richard Williams
5619,Mary McGuckian
5620,Tony Goldwyn
5621,Jonathan Newman
5622,Michael Dinner
5623,Joseph Sargent
5624,Jerry Zaks
5625,Fred Durst
5626,Anne Fontaine
5627,Jon Cassar
5628,Mira Nair
5629,Mel Brooks
5630,Russell Crowe
5631,Jessie Nelson
5632,Christopher Spencer
5633,Mike Bigelow
5634,Daniel Sackheim
5635,Deborah Kaplan
5636,Uli Edel
5637,Fred Dekker
5638,Brian Trenchard-Smith
5639,Blake Edwards
5640,Laurence Dunmore
5641,Christian Carion
5642,Dax Shepard
5643,Rowan Joffe
5644,John Curran
5645,Juan José Campanella
5646,Trey Parker
5647,Stuart Gillard
5648,Katt Shea
5649,Joshua Michael Stern
5650,Tomas Alfredson
5651,John Duigan
5652,Colin Higgins
5653,Jim Sonzero
5654,Penelope Spheeris
5655,Jeff Tremaine
5656,Jeannot Szwarc
5657,Steve McQueen
5658,Thea Sharrock
5659,Jon Lucas
5660,Robin Budd
5661,Ava DuVernay
5662,Steve Trenbirth
5663,Mennan Yapo
5664,Jun Falkenstein
5665,Tom McCarthy
5666,Takashi Shimizu
5667,Gary Nelson
5668,Anton Corbijn
5669,Gregory Nava
5670,John Patrick Shanley
5671,Joshua Logan
5672,Steve Beck
5673,Todd Strauss-Schulson
5674,John McNaughton
5675,Nelson McCormick
5676,Eric Valette
5677,Andrew Fleming
5678,Michael Spierig
5679,Jim Field Smith
5680,Thomas Bezucha
5681,William Brent Bell
5682,Ben Gluck
5683,Jessica Bendinger
5684,Henry Joost
5685,Ed Harris
5686,Alfred Hitchcock
5687,Shana Feste
5688,Steve Rash
5689,Mike Binder
5690,Michael J. Bassett
5691,Frank Nissen
5692,Stephen Chow
5693,Peter Hastings
5694,Paul Abascal
5695,Chris Koch
5696,Amy Heckerling
5697,Michael Moore
5698,George Stevens
5699,Billy Ray
5700,Mark Mylod
5701,Stephen St. Leger
5702,Michael O. Sajbel
5703,Charles T. Kanganis
5704,Damon Santostefano
5705,Bob Clark
5706,Frank Passingham
5707,Benson Lee
5708,Glen Morgan
5709,Mike Leigh
5710,Alejandro Monteverde
5711,Jonathan Glazer
5712,J.C. Chandor
5713,Paul Gross
5714,Marc Abraham
5715,Todd Haynes
5716,Mabrouk El Mechri
5717,Charlie Kaufman
5718,Nancy Walker
5719,Angelo Pizzo
5720,Matthew Diamond
5721,Katsuhiro Ōtomo
5722,David Anspaugh
5723,Andrew Jarecki
5724,Daniel Algrant
5725,Mike Barker
5726,Wayne Thornley
5727,Gnana Rajasekaran
5728,Tom Walsh
5729,Jonathan Jakubowicz
5730,Scott Walker
5731,Mark Rosman
5732,Rob Hawk
5733,Britt Allcroft
5734,Alan Yuen
5735,Brian Percival
5736,Anand Tucker
5737,Anthony Mann
5738,Michael Dowse
5739,Daniel Barnz
5740,Emile Ardolino
5741,Robert Altman
5742,James Schamus
5743,Andrew Douglas
5744,Ricky Gervais
5745,Vic Armstrong
5746,Terry Zwigoff
5747,Audrey Wells
5748,Rick Friedberg
5749,Sean McNamara
5750,Jody Hill
5751,Brandon Camp
5752,Kevin Tancharoen
5753,Nicholas Hytner
5754,Bart Freundlich
5755,William A. Fraker
5756,John Boorman
5757,Courtney Solomon
5758,Jeff Kanew
5759,István Szabó
5760,Matthew Robbins
5761,Hal Needham
5762,Jeff Nichols
5763,Jonathan Teplitzky
5764,Michael Haneke
5765,Zack Ward
5766,Mike Marvin
5767,Gregor Jordan
5768,Olivier Assayas
5769,Tran Anh Hung
5770,Lance Hool
5771,Christian Volckman
5772,Rodrigo Cortés
5773,David Hayter
5774,Cory Edwards
5775,Terry George
5776,Xavier Gens
5777,Kasi Lemmons
5778,Brian A Miller
5779,Matt Dillon
5780,George Cukor
5781,John Robert Hoffman
5782,Kevin Greutert
5783,John Fortenberry
5784,Erik White
5785,Christian Robinson
5786,Jason Moore
5787,Robert Harmon
5788,Trent Cooper
5789,Gary Halvorson
5790,Nicholas Ray
5791,Fede Alvarez
5792,Sidney J. Furie
5793,Ian Iqbal Rashid
5794,Wayne Kramer
5795,Rowdy Herrington
5796,Jim Goddard
5797,Noel Marshall
5798,Andrea Di Stefano
5799,Guillaume Ivernel
5800,Jack Smight
5801,Todd Lincoln
5802,Howard Zieff
5803,Steven Shainberg
5804,Julian Jarrold
5805,Joe Nussbaum
5806,Vadim Perelman
5807,Michel Hazanavicius
5808,Cyrus Nowrasteh
5809,Perry Andelin Blake
5810,Christian E. Christiansen
5811,Sheldon Lettich
5812,Diane English
5813,Peter Flinth
5814,Robert Iscove
5815,Peter Kosminsky
5816,Nick Gomez
5817,Allen Coulter
5818,Clare Kilner
5819,Josef Rusnak
5820,Lance Rivera
5821,Ronald Neame
5822,Bruce Paltrow
5823,Adam Rifkin
5824,Susanne Bier
5825,Kenneth Johnson
5826,James Ivory
5827,Jessy Terrero
5828,Dany Boon
5829,Vicente Amorim
5830,Gaspar Noé
5831,Jérôme Salle
5832,Tommy Lee Jones
5833,Jesse Vaughan
5834,William Bindley
5835,Wayne Beach
5836,Gérard Krawczyk
5837,Udayan Prasad
5838,Yoon Je-kyoon
5839,Morten Tyldum
5840,Andy Muschietti
5841,Gillian Armstrong
5842,James Watkins
5843,Jim Fall
5844,Ric Roman Waugh
5845,Michael Dougherty
5846,Joel Gallen
5847,James Marsh
5848,Matt Williams
5849,Rob Zombie
5850,Dennis Iliadis
5851,Rick Rosenthal
5852,Denzel Washington
5853,Nicolas Winding Refn
5854,Sara Sugarman
5855,Juan Carlos Fresnadillo
5856,Gina Prince-Bythewood
5857,Phil Traill
5858,Joe Berlinger
5859,Elizabeth Allen Rosenbaum
5860,Michael Mayer
5861,Martin Weisz
5862,John Ottman
5863,John Bonito
5864,Peter Atencio
5865,David Nutter
5866,Derek Cianfrance
5867,Stephan Elliott
5868,Mark L. Lester
5869,Tom Green
5870,Mike Nawrocki
5871,Douglas Aarniokoski
5872,Bryan Barber
5873,Lone Scherfig
5874,Drew Barrymore
5875,Brian Koppelman
5876,James Foley
5877,Albert Brooks
5878,Steve Gomer
5879,RZA
5880,Mark Piznarski
5881,Craig Brewer
5882,David Raynr
5883,Mort Nathan
5884,Dan Curtis
5885,Wil Shriner
5886,Martin McDonagh
5887,Tina Gordon Chism
5888,Peter Cattaneo
5889,Mary Lambert
5890,Peter Kassovitz
5891,Rodman Flender
5892,Katja von Garnier
5893,Mark Romanek
5894,Brad Anderson
5895,Michael Chapman
5896,Antonio Banderas
5897,Khalil Sullins
5898,Fritz Lang
5899,Hou Hsiao-hsien
5900,Andrey Zvyagintsev
5901,Tony Jaa
5902,Ryûhei Kitamura
5903,Darrell James Roodt
5904,Dito Montiel
5905,Stefan Ruzowitzky
5906,Jake Paltrow
5907,Juraj Jakubisko
5908,Anthony Silverston
5909,Gabe Ibáñez
5910,Gerry Lively
5911,Daniele Luchetti
5912,Derek Yee Tung-Sing
5913,Julien Temple
5914,Gregory Jacobs
5915,Gilles Paquet-Brenner
5916,Peter Cousens
5917,Lars von Trier
5918,John Cornell
5919,Vidhu Vinod Chopra
5920,Jamie Blanks
5921,Randal Kleiser
5922,Phil Vischer
5923,Rick Famuyiwa
5924,Alan Cohn
5925,Franco Zeffirelli
5926,Tom Holland
5927,James Isaac
5928,Emilio Estevez
5929,Josh Schwartz
5930,Julian Schnabel
5931,Todd Field
5932,Davis Guggenheim
5933,Stephen Carpenter
5934,James Fargo
5935,Alain Resnais
5936,Kenneth Lonergan
5937,Bo Zenga
5938,Danny Leiner
5939,Christopher Cain
5940,Theodore Melfi
5941,Ed Decter
5942,Gene Quintano
5943,Eric Bress
5944,Preston A. Whitmore II
5945,Kirk Wong
5946,Bronwen Hughes
5947,John Lafia
5948,Sam Miller
5949,Alex Garland
5950,Mark Brown
5951,Michael Polish
5952,Daisy von Scherler Mayer
5953,Lenny Abrahamson
5954,Bob Saget
5955,John Waters
5956,Craig Bolotin
5957,Mark Christopher
5958,Blair Hayes
5959,Jez Butterworth
5960,Isabel Coixet
5961,Patrice Leconte
5962,Paul Mazursky
5963,Stephen Chbosky
5964,Jon Hess
5965,Mark Neveldine
