uid,id_tertiaire,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,overview,tagline,director_id,name
57201,the_lone_ranger_2013,The Lone Ranger,The Lone Ranger,2013-07-03,255000000.0,89289910.0,49,5.9,2311,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Never Take Off the Mask,4763,Gore Verbinski
49521,man_of_steel_2013,Man of Steel,Man of Steel,2013-06-12,225000000.0,662845518.0,99,6.5,6359,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You will believe that a man can fly.,4771,Zack Snyder
2454,the_chronicles_of_narnia_prince_caspian_2008,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000.0,419651413.0,53,6.3,1630,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Hope has a new face.,4774,Andrew Adamson
24428,the_avengers_2012,The Avengers,The Avengers,2012-04-25,220000000.0,1519557910.0,144,7.4,11776,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,4769,Joss Whedon
1865,pirates_of_the_caribbean_on_stranger_tides_2011,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011-05-14,380000000.0,1045713802.0,135,6.4,4948,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Live Forever Or Die Trying.,4775,Rob Marshall
41154,men_in_black_3_2012,Men in Black 3,Men in Black 3,2012-05-23,225000000.0,624026776.0,52,6.2,4160,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",They are back... in time.,4776,Barry Sonnenfeld
122917,the_hobbit_the_battle_of_the_five_armies_2014,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000.0,956019788.0,120,7.1,4760,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Witness the defining chapter of the Middle-Earth saga,4777,Peter Jackson
1930,the_amazing_spider_man_2012,The Amazing Spider-Man,The Amazing Spider-Man,2012-06-27,215000000.0,752215857.0,89,6.5,6586,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",The untold story begins.,4778,Marc Webb
20662,robin_hood_2010,Robin Hood,Robin Hood,2010-05-12,200000000.0,310669540.0,37,6.2,1398,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Rise and rise again, until lambs become lions.",4779,Ridley Scott
57158,the_hobbit_the_desolation_of_smaug_2013,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013-12-11,250000000.0,958400000.0,94,7.6,4524,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,4777,Peter Jackson
2268,the_golden_compass_2007,The Golden Compass,The Golden Compass,2007-12-04,180000000.0,372234864.0,42,5.8,1303,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",There are worlds beyond our own - the compass will show the way.,4780,Chris Weitz
254,king_kong_2005,King Kong,King Kong,2005-12-14,207000000.0,550000000.0,61,6.6,2337,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,4777,Peter Jackson
597,titanic_1997,Titanic,Titanic,1997-11-18,200000000.0,1845034188.0,100,7.5,7562,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,4762,James Cameron
271110,captain_america_civil_war_2016,Captain America: Civil War,Captain America: Civil War,2016-04-27,250000000.0,1153304495.0,198,7.1,7241,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,4781,Anthony Russo
44833,battleship_2012,Battleship,Battleship,2012-04-11,209000000.0,303025485.0,64,5.5,2114,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",The Battle for Earth Begins at Sea,4782,Peter Berg
135397,jurassic_world_2015,Jurassic World,Jurassic World,2015-06-09,150000000.0,1513528810.0,418,6.5,8662,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,4783,Colin Trevorrow
37724,skyfall_2012,Skyfall,Skyfall,2012-10-25,200000000.0,1108561013.0,93,6.9,7604,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,4764,Sam Mendes
558,spider_man_2_2004,Spider-Man 2,Spider-Man 2,2004-06-25,200000000.0,783766341.0,35,6.7,4321,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",There's a hero in all of us.,4767,Sam Raimi
68721,iron_man_3_2013,Iron Man 3,Iron Man 3,2013-04-18,200000000.0,1215439994.0,77,6.8,8806,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,4784,Shane Black
12155,alice_in_wonderland_2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,200000000.0,1025491110.0,78,6.4,4645,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",You're invited to a very important date.,4785,Tim Burton
36668,x_men_the_last_stand_2006,X-Men: The Last Stand,X-Men: The Last Stand,2006-05-24,210000000.0,459359555.0,3,6.3,3525,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Take a Stand,4786,Brett Ratner
62211,monsters_university_2013,Monsters University,Monsters University,2013-06-20,200000000.0,743559607.0,89,7.0,3528,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,School never looked this scary.,4787,Dan Scanlon
8373,transformers_revenge_of_the_fallen_2009,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,2009-06-19,150000000.0,836297228.0,21,6.0,3138,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Revenge is coming.,4788,Michael Bay
91314,transformers_age_of_extinction_2014,Transformers: Age of Extinction,Transformers: Age of Extinction,2014-06-25,210000000.0,1091405097.0,116,5.8,3095,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.,4788,Michael Bay
68728,oz_the_great_and_powerful_2013,Oz: The Great and Powerful,Oz: The Great and Powerful,2013-03-07,200000000.0,491868548.0,46,5.7,3530,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","In Oz, nothing is what it seems",4767,Sam Raimi
102382,the_amazing_spider_man_2_2014,The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014-04-16,200000000.0,705717432.0,89,6.5,4179,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",No more secrets.,4778,Marc Webb
20526,tron_legacy_2010,TRON: Legacy,TRON: Legacy,2010-12-10,170000000.0,400062763.0,73,6.3,2841,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",The Game Has Changed.,4789,Joseph Kosinski
49013,cars_2_2011,Cars 2,Cars 2,2011-06-11,200000000.0,559852396.0,49,5.8,2033,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Ka-ciao!,4790,John Lasseter
44912,green_lantern_2011,Green Lantern,Green Lantern,2011-06-16,200000000.0,219851172.0,51,5.1,2487,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","In our darkest hour, there will be light.",4791,Martin Campbell
10193,toy_story_3_2010,Toy Story 3,Toy Story 3,2010-06-16,200000000.0,1066969703.0,59,7.6,4597,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",No toy gets left behind.,4792,Lee Unkrich
534,terminator_salvation_2009,Terminator Salvation,Terminator Salvation,2009-05-20,200000000.0,371353001.0,71,5.9,2463,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",The End Begins.,4793,McG
168259,furious_7_2015,Furious 7,Furious 7,2015-04-01,190000000.0,1506249360.0,102,7.3,4176,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Vengeance Hits Home,4794,James Wan
72190,world_war_z_2013,World War Z,World War Z,2013-06-20,200000000.0,531865000.0,81,6.7,5560,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Remember Philly!,4773,Marc Forster
127585,x_men_days_of_future_past_2014,X-Men: Days of Future Past,X-Men: Days of Future Past,2014-05-15,250000000.0,747862775.0,118,7.5,6032,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"To save the future, they must alter the past",4772,Bryan Singer
54138,star_trek_into_darkness_2013,Star Trek Into Darkness,Star Trek Into Darkness,2013-05-05,190000000.0,467365246.0,78,7.4,4418,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",Earth Will Fall,4795,J.J. Abrams
81005,jack_the_giant_slayer_2013,Jack the Giant Slayer,Jack the Giant Slayer,2013-02-27,195000000.0,197687603.0,43,5.5,2598,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",Prepare for a giant adventure,4772,Bryan Singer
64682,the_great_gatsby_2013,The Great Gatsby,The Great Gatsby,2013-05-10,105000000.0,351040419.0,61,7.3,3769,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,4796,Baz Luhrmann
9543,prince_of_persia_the_sands_of_time_2010,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010-05-19,150000000.0,335154643.0,62,6.2,2317,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",Defy the Future,4797,Mike Newell
68726,pacific_rim_2013,Pacific Rim,Pacific Rim,2013-07-11,180000000.0,407602906.0,56,6.7,4794,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","To Fight Monsters, We Created Monsters",4798,Guillermo del Toro
38356,transformers_dark_of_the_moon_2011,Transformers: Dark of the Moon,Transformers: Dark of the Moon,2011-06-28,195000000.0,1123746996.0,28,6.1,3299,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",The invasion we always feared. An enemy we never expected.,4788,Michael Bay
217,indiana_jones_and_the_kingdom_of_the_crystal_skull_2008,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000.0,786636033.0,75,5.7,2495,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",The adventure continues . . .,4799,Steven Spielberg
105864,the_good_dinosaur_2015,The Good Dinosaur,The Good Dinosaur,2015-11-14,175000000.0,331926147.0,51,6.6,1736,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Little Arms With Big Attitude,4800,Peter Sohn
62177,brave_2012,Brave,Brave,2012-06-21,185000000.0,538983207.0,125,6.7,4641,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",Change your fate.,4801,Brenda Chapman
188927,star_trek_beyond_2016,Star Trek Beyond,Star Trek Beyond,2016-07-07,185000000.0,343471816.0,65,6.6,2568,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",,4802,Justin Lin
10681,wall_e_2008,WALL·E,WALL·E,2008-06-22,180000000.0,521311860.0,66,7.8,6296,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",An adventure beyond the ordinar-E.,4766,Andrew Stanton
5174,rush_hour_3_2007,Rush Hour 3,Rush Hour 3,2007-08-08,140000000.0,258022233.0,22,6.1,783,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",The Rush Is On!,4786,Brett Ratner
14161,2012_2009,2012,2012,2009-10-10,200000000.0,769653595.0,45,5.6,4903,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",We Were Warned.,4803,Roland Emmerich
17979,a_christmas_carol_2009,A Christmas Carol,A Christmas Carol,2009-11-04,200000000.0,325233863.0,39,6.6,1095,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",Season's Greedings,4804,Robert Zemeckis
76757,jupiter_ascending_2015,Jupiter Ascending,Jupiter Ascending,2015-02-04,176000003.0,183987723.0,85,5.2,2768,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",Expand your universe.,4805,Lilly Wachowski
258489,the_legend_of_tarzan_2016,The Legend of Tarzan,The Legend of Tarzan,2016-06-29,180000000.0,356743061.0,42,5.5,2430,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Human. Nature.,4770,David Yates
411,the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe_2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,180000000.0,748806957.0,67,6.7,2629,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Evil Has Reigned For 100 Years...,4774,Andrew Adamson
246655,x_men_apocalypse_2016,X-Men: Apocalypse,X-Men: Apocalypse,2016-05-18,178000000.0,543934787.0,139,6.4,4721,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Only the strong will survive,4772,Bryan Singer
155,the_dark_knight_2008,The Dark Knight,The Dark Knight,2008-07-16,185000000.0,1004558444.0,187,8.2,12002,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,4765,Christopher Nolan
14160,up_2009,Up,Up,2009-05-13,175000000.0,735099082.0,92,7.7,6870,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",,4806,Pete Docter
